Area Code,Item Code,Element Code,Element Name,Num_2000,Symb_2000,Num_2001,Symb_2001,Num_2002,Symb_2002,Num_2003,Symb_2003,Num_2004,Symb_2004,Num_2005,Symb_2005
123,654,41,Extr Rate (Hg/Mt),4000.000,C,4000.000,C,4000.000,C,4000.000,C,4000.000,C,4000.000,C
123,654,51,Production (Mt),244.000,C,264.000,C,378.000,C,394.800,C,458.800,C,555.200,C
123,1242,61,Imports - Qty (Mt),2200.000,*,900.000,*,974.000,*,890.000,P,1866.000,P,528.000,P
123,1275,61,Imports - Qty (Mt),0.000,F,140.000,*,80.000,*,0.000,P,154.000,P,429.000,P
124,18,41,Extr Rate (Hg/Mt),10000.000,C,10000.000,C,10000.000,C,10000.000,C,10000.000,C,10000.000,C
124,18,51,Production (Mt),3659.363,C,3255.113,C,2839.931,C,2938.538,C,3404.925,C,2972.044,C
124,18,61,Imports - Qty (Mt),3040.000,*,4713.000,*,13416.000,*,4054.000, ,2393.000, ,29371.000,P
124,18,91,Exports - Qty (Mt),10.000,*,10.000,F,0.000,F,3.000,P,3.000,T,2.000,P
124,27,61,Imports - Qty (Mt),4.000,*,0.000,*,18.000,*,1.000,P,4.000,P,0.000,F
124,31,61,Imports - Qty (Mt),164530.000, ,124699.000, ,92369.000, ,109723.000, ,124585.000, ,174829.000,P
124,31,91,Exports - Qty (Mt),117.000,*,12.000,*,0.000,F,0.000,T,20.000,P,56.000,P
124,32,41,Extr Rate (Hg/Mt),10000.000,C,10000.000,C,10000.000,C,10000.000,C,10000.000,C,10000.000,C
124,32,51,Production (Mt),24733.500,C,23982.148,C,22763.648,C,21364.555,C,23877.250,C,21548.641,C
124,32,61,Imports - Qty (Mt),0.000,T,0.000,T,0.000,T,0.000,T,195.000,P,2039.000,P
124,34,61,Imports - Qty (Mt),0.000,M,0.000,M,0.000,M,383.000, ,3.000, ,93.000,P
124,41,61,Imports - Qty (Mt),120.000,*,201.000,*,453.000,*,234.000, ,304.000, ,855.000,P
124,51,41,Extr Rate (Hg/Mt),0.000,M,0.000,M,0.000,M,0.000,M,64856.711,C,0.000,M
124,51,51,Production (Mt),0.000,M,0.000,M,0.000,M,0.000,M,4300.000,F,0.000,M
124,51,61,Imports - Qty (Mt),138.000,*,92.000,*,322.000,*,340.000,P,205.000,P,182.000,P
124,113,61,Imports - Qty (Mt),0.000,F,0.000,F,6.000,*,57.000, ,85.000, ,0.000,P
124,113,91,Exports - Qty (Mt),0.000,T,0.000,T,0.000,F,0.000,T,0.000,T,0.000,T
124,168,61,Imports - Qty (Mt),1400.000,*,1382.000,*,1104.000,*,658.000, ,540.000, ,3658.000,P
124,168,91,Exports - Qty (Mt),129.000,T,129.000,T,21.000,*,0.000,P,0.000,P,0.000,T
124,172,61,Imports - Qty (Mt),528.000,*,118.000,*,461.000,*,83.000, ,245.000, ,778.000,P
124,632,61,Imports - Qty (Mt),0.000,M,34.000,*,128.000,*,38.000,P,179.000, ,37.000,P
124,633,61,Imports - Qty (Mt),39522.000,*,37827.000,*,56223.000,*,7046.000, ,2873.000, ,43842.000,P
124,633,91,Exports - Qty (Mt),0.000,T,0.000,T,0.000,T,0.000,T,1.000,P,697.000,P
124,634,61,Imports - Qty (Mt),63.000,*,32.000,*,7.000,*,57.000,P,83.000,P,14.000,P
124,1242,61,Imports - Qty (Mt),1387.000, ,1390.000, ,178.000,*,576.000, ,2739.000, ,1273.000,P
124,1275,61,Imports - Qty (Mt),130.000,*,190.000,*,1419.000,*,6334.000,P,10303.000,P,2033.000,P
126,18,61,Imports - Qty (Mt),7723.000, ,9184.000, ,8772.000, ,8553.000, ,8702.000, ,7366.000, 
126,18,91,Exports - Qty (Mt),204.000, ,270.000, ,464.000, ,318.000, ,413.000, ,1742.000, 
126,27,61,Imports - Qty (Mt),42.000, ,27.000, ,224.000, ,114.000, ,14.000, ,8.000, 
126,27,91,Exports - Qty (Mt),0.000, ,0.000, ,0.000,T,1.000, ,1.000, ,1.000, 
126,28,61,Imports - Qty (Mt),465.000, ,63.000, ,71.000, ,23.000,*,110.000, ,593.000, 
126,28,91,Exports - Qty (Mt),4.000, ,0.000, ,6.000, ,12.000, ,29.000, ,15.000, 
126,31,61,Imports - Qty (Mt),11035.000, ,13299.000, ,10942.000, ,7414.000, ,10722.000, ,10952.000, 
126,31,91,Exports - Qty (Mt),1439.000, ,3456.000, ,2114.000, ,698.000, ,1471.000, ,2644.000, 
126,32,61,Imports - Qty (Mt),195.000, ,426.000, ,100.000, ,92.000, ,594.000, ,409.000, 
