HS 2007 code,HS 2007 title,HS 2012 code,HS 2012 title,FCL Item code,FCL Title,Last update: 12 May 2014
151790,- Other,151790,- Other,1241,Liquid Margarine,
151790,- Other,151790,- Other,1242,Margarine and Shortening,
151790,- Other,151790,- Other,1243,Fat Preparations nes,
151800,"Animal or vegetable fats and oils and their fractions, boiled, oxidised, dehydrated, sulphurised, blown, polymerised by heat in vacuum or in inert gas or otherwise chemically modified, excluding those of heading 15.16; inedible mixtures or preparations of",151800,"Animal or vegetable fats and oils and their fractions, boiled, oxidised, dehydrated, sulphurised, blown, polymerised by heat in vacuum or in inert gas or otherwise chemically modified, excluding those of heading 15.16; inedible mixtures or preparations of",1274,"Oils Boiled, Dehydrated, etc.",
152110,- Vegetable waxes,152110,- Vegetable waxes,1296,Vegetable waxes,
152190,- Other,152190,- Other,1183,Beeswax,
152190,- Other,152190,- Other,1295,Spermaceti,
152200,Degras; residues resulting from the treatment of fatty substances or animal or vegetable waxes.,152200,Degras; residues resulting from the treatment of fatty substances or animal or vegetable waxes.,1222,Degras,
152200,Degras; residues resulting from the treatment of fatty substances or animal or vegetable waxes.,152200,Degras; residues resulting from the treatment of fatty substances or animal or vegetable waxes.,1277,Residues of Fatty Substances,
160100,"Sausages and similar products, of meat, meat offal or blood; food preparations based on these products",160100,"Sausages and similar products, of meat, meat offal or blood; food preparations based on these products",0874,Sausages of Beef and Veal,
160100,"Sausages and similar products, of meat, meat offal or blood; food preparations based on these products",160100,"Sausages and similar products, of meat, meat offal or blood; food preparations based on these products",1172,"Meat, Prepared nes",
160100,"Sausages and similar products, of meat, meat offal or blood; food preparations based on these products.",160100,"Sausages and similar products, of meat, meat offal or blood; food preparations based on these products.",1041,Sausages of Pig Meat,
160210,-- Homogenised preparations,160210,-- Homogenised preparations,0877,Homogenized Meat Preparations,
160220,- Of liver of any animal,160220,- Of liver of any animal,0878,Liver Preparations,
160220,- Of liver of any animal,160220,- Of liver of any animal,1060,Fatty Liver Preparations,
160231,-- Of turkeys,160231,-- Of turkeys,1061,"Meat, Canned (Poultry)",
160232,-- Of fowls of the species Gallus domesticus,160232,-- Of fowls of the species Gallus domesticus,1061,"Meat, Canned (Poultry)",
160239,-- Other,160239,-- Other,1061,"Meat, Canned (Poultry)",
160241,-- Hams and cuts thereof,160241,-- Hams and cuts thereof,1042,Pig Meat Preparations,
160242,-- Shoulders and cuts thereof,160242,-- Shoulders and cuts thereof,1042,Pig Meat Preparations,
160249,"-- Other, including mixtures",160249,"-- Other, including mixtures",1042,Pig Meat Preparations,
160250,- Of bovine animals,160250,- Of bovine animals,0875,Beef and Veal Preparations nes,
160290,"- Other, including preparations of blood of any animal",160290,"- Other, including preparations of blood of any animal",1172,"Meat, Prepared nes",
160300,"Extracts and juices of meat, fish or crustaceans, molluscs orother aquatic invertebrates",160300,"Extracts and juices of meat, fish or crustaceans, molluscs orother aquatic invertebrates",0873,Meat Extracts,
170112,-- Beet sugar,170112,-- Beet sugar,0159,Beet Sugar,
170112,-- Beet sugar,170112,-- Beet sugar,[0162 = 0158+0159],"[Sugar (cane+beet), raw centrifugal]",
170111,-- Cane sugar,170113,-- Cane sugar specified in Subheading Note 2 to this Chapter (i.e. non centrifugal),0163,"Sugar, Non-Centrifugal",
170111,-- Cane sugar,170114,-- Other cane sugar (centrifugal),0158,Cane Sugar (centrifugal),
170111,-- Cane Sugar,170114,-- Other cane sugar (centrifugal),[0162 = 0158+0159],"[Sugar (cane+beet), raw centrifugal]",
170191,-- Containing added flavouring or colouring matter,170191,-- Containing added flavouring or colouring matter,0164,"Sugar, Refined",
170199,-- Other,170199,-- Other,0164,"Sugar, Refined",
170211,"-- Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter",170211,"-- Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter",0173,Lactose,
170219,-- Other,170219,-- Other,0173,Lactose,
170220,- Maple sugar and maple syrup,170220,- Maple sugar and maple syrup,0160,Maple Sugar and Syrups,
170230,"- Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",170230,"- Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",0172,Glucose and Dextrose,
170230,"- Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",170230,"- Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",0175,Isoglucose,
170240,"- Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",170240,"- Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",0172,Glucose and Dextrose,
170240,"- Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",170240,"- Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",0175,Isoglucose,
170250,- Chemically pure fructose,170250,- Chemically pure fructose,0154,"Fructose, Chemically Pure",
170260,"- Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",170260,"- Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",0166,Other Fructose and Syrup,
170260,"- Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",170260,"- Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",0175,Isoglucose,
